Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.1642,-95.754,180.0,top
C102,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.1642,-105.254,180.0,top
C103,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.8055,-96.0,180.0,top
C104,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.0605,-105.5,180.0,top
C105,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.0522,-96.0,180.0,top
C106,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.1797,-105.5,180.0,top
C107,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.1385,-96.0,180.0,top
C108,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.1385,-105.5,180.0,top
D102,1N4148WS,D_SOD-323F,152.4,-105.5,0.0,top
R101,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,161.036,-94.8436,0.0,top
SW101,PICO RESET,SW_Push_1P1T_XKB_TS-1187A,152.5,-100.0,0.0,top
U101,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,132.433,-100.8465,180.0,top
U102,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,143.4142,-100.6005,180.0,top
U103,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,171.575,-100.8465,180.0,top
U105,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,161.5185,-100.8465,180.0,top
