Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104",C_Disc_D4.7mm_W2.5mm_P5.00mm,4,100nF,
C105,1812,1,100nF,
D101,D_A-405_P7.62mm_Horizontal,1,1N4148WS,
"J101, J102",PinHeader_2x20_P2.54mm_Vertical,2,PAL-1 Expansion Connector,
JP101,PinHeader_1x02_P2.54mm_Vertical,1,DECEN ENABLE,
SW101,SW_PUSH_6mm_H4.3mm,1,PICO RESET,
TP101,TestPoint_Pad_2.5x2.5mm,1,CONNECT TO TP5 ON PICO,
"U101, U102, U104, U105",DIP-20_W7.62mm_Socket_LongPads,4,74LVC245,
U103,RPi_Pico_SMD_TH,1,Pico,
U106,DIP-14_W8.89mm_SMDSocket_LongPads,1,74LS00,
