Designator,Mid X,Mid Y,Rotation,Layer
C101,68.58,-109.5324,0.0,top
C102,109.21,-142.5474,0.0,top
C103,68.55,-142.5474,0.0,top
C104,109.22,-109.5324,0.0,top
C105,91.0,-132.5,0.0,bottom
D101,90.31,-163.5,0.0,top
J101,89.06,-176.15,90.0,top
J102,88.865,-183.765,90.0,top
JP101,100.0,-164.5,90.0,top
SW101,79.5,-165.5,0.0,top
U101,68.58,-124.46,0.0,top
U102,109.21,-157.475,0.0,top
U103,89.06,-133.595,0.0,top
U104,68.58,-157.475,0.0,top
U105,109.22,-124.46,0.0,top
U106,89.945,-145.38,0.0,bottom
